Id,Text,Target
2.85e+17,one thing love life mother one ever come mine,1
2.9e+17,want perfect want happy,0
2.86e+17,mom hates dad hates today sucks fword life tho,0
2.86e+17,hate hate life,0
2.86e+17,feel good,1
2.9e+17,“ single want tf,1
2.9e+17,love life live life,1
2.86e+17,2013 want happy,0
2.86e+17,spoiled life,1
2.9e+17,life good believe life reality life,1
2.85e+17,i blessed,1
2.85e+17,15factsaboutme wish could go back ti ame change life,0
2.85e+17,best year life,1
2.85e+17,6 i disappointment,0
2.86e+17,bestmemories2012 good memories life sword,0
2.85e+17,must say,1
2.9e+17,najol1419 life ♡,1
2.9e+17,happybihdayzayn make life happy,1
2.86e+17,i suck,0
2.86e+17,stop fword every good thing life,0
2.85e+17,mywishin2013 happy life,1
2.86e+17,mywishin2013 happy want,0
2.86e+17,mywishin2013 life stay way,1
2.86e+17,mywishin2013 want year better last year want happy want someone care want real friends,0
2.85e+17,mywishin2013 dreams come true,1
2.86e+17,mywishin2013 everything life go great,1
2.85e+17,mywishin2013 idk life quite perfect even tho theres ups n downs,1
2.85e+17,mywishin2013 happy flat love life i tired sad,0
2.86e+17,mywishin2013 happy want,0
2.85e+17,mywishin2013 dreams come true,1
2.85e+17,mywishin2013 happy content life,1
2.86e+17,mywishin2013 try make others happy,1
2.85e+17,mywishin2013 happy life happy kid like,1
2.9e+17,someti amesi think peoples life happy,1
2.9e+17,someti amesi wonder i even bring nothing good life,0
2.9e+17,blessing,1
2.85e+17,thankgodfor life chance live happy life family friends i one happy girl,1
2.9e+17,thoughtsinthehallway face awesome face awesome face,1
2.85e+17,i fabulous ‚ù§üíúüëëüëå,1
2.9e+17,yeiiiii happy,1
2.86e+17,life,0
2.9e+17,loving life boy,1
2.85e+17,np ti love life,1
2.86e+17,sad life live middle nowhere,0
2.9e+17,thoughtinthehallway fword life,0
2.86e+17,i one good,1
2.86e+17,dont feel good,0
2.9e+17,hate much love boy,0
2.9e+17,hate,0
2.9e+17,love life,1
2.86e+17,i happy,1
2.85e+17,never wanted nothin,0
2.86e+17,still dont feel good,0
2.85e+17,damn feel good,0
2.9e+17,amp every boy keeps back every laughing loud love life need keep happy ha ♡,1
2.9e+17,amp course i bad guy,0
2.9e+17,shout god i triple blessed,1
2.9e+17,think wonderful world,1
2.85e+17,fword life,0
2.85e+17,want,0
2.86e+17,welcome universe sad life,0
2.85e+17,life,0
2.86e+17,blessed bless,1
2.85e+17,really i fine,1
2.85e+17,‚äæ é∆™‚äæ thanks god blessing deserve,1
2.9e+17,love life love life,1
2.85e+17,˘˘ damnitstrue thanks god blessing deserve,1
2.85e+17,listens i best,1
2.85e+17,beautiful,1
2.85e+17,i sad,0
2.86e+17,laughs life live absolutely great,1
2.85e+17,long hate everyone life,0
2.9e+17,mission happy ti ame lifemission failed,0
2.86e+17,one fword life,0
2.85e+17,head i good life,1
2.9e+17,sigh life,0
2.85e+17,sighs i blessed üëå,1
2.86e+17,sighs 0 friends,0
2.85e+17,singing ibi god e dey bless oo,1
2.85e+17,smiles i fine,1
2.9e+17,around think honestly say life perfect,1
2.85e+17,watched oh alright life bad laughing loud,0
2.85e+17,love life,1
2.9e+17,love,1
2.9e+17,i happy,1
2.86e+17,i good,1
2.9e+17,i good,1
2.9e+17,i good look like laughing loud,1
2.9e+17,i proud,1
2.85e+17,wishes come true,1
2.86e+17,aw i feeling love,1
2.9e+17,want,1
2.86e+17,swear i good,0
2.85e+17,face i fine,1
2.86e+17,i good,1
2.85e+17,would change life world perfect 3,1
2.85e+17,dont feel good,0
2.9e+17,i getting sword done,0
2.9e+17,wow life quite pathetic think,0
2.85e+17,i fine,1
2.85e+17,want happy,0
2.86e+17,noi fine,1
2.9e+17,feel like i watching,1
2.9e+17,need,1
2.86e+17,awkward either horrible memory truly life,0
2.85e+17,love life matter complicated might know everything okay end,1
2.9e+17,i happy girl,1
2.9e+17,make sword happen,0
2.86e+17,noi awesome,1
2.9e+17,nods hate life tt,0
2.85e+17,i horrible person,0
2.9e+17,100 i happy girl,1
2.9e+17,100 cannot complain life good feel bro good tho,1
2.85e+17,100 sure best boyfriend ever,1
2.85e+17,fword life,0
2.85e+17,wish happy,0
2.85e+17,16 left life mess,0
2.9e+17,tweets obviously life,0
2.85e+17,2 i i freaking proud,1
2.86e+17,2012 made worst mistakes life,0
2.85e+17,2012 people blessed know,1
2.86e+17,2012 awesome words 3 love life,1
2.85e+17,2013 want happy,0
2.86e+17,2013 bout enjoying life,1
2.85e+17,2013 year get want,1
2.9e+17,hate lot,0
2.85e+17,best,1
2.85e+17,3 word fword life,0
2.85e+17,i still love,1
2.85e+17,need change,0
2.9e+17,500aday hate embarrassing,0
2.9e+17,6am love,1
2.9e+17,8 minutes love life,1
2.85e+17,8th life,0
2.86e+17,i awful person,0
2.85e+17,i fine,1
2.85e+17,i fine,1
2.86e+17,yeaa i proud,1
2.85e+17,laughing loud girl miserable,0
2.85e+17,thanks god blessing deserve,1
2.85e+17,done done,1
2.86e+17,love see forever,1
2.9e+17,love life love life period beautiful thing,1
2.86e+17,really need change,0
2.85e+17,think i love,1
2.85e+17,i good girl liar,1
2.9e+17,i gone stay blessedyes sir always,1
2.85e+17,i happy say everything could possibly want life would change thing,1
2.85e+17,i best,1
2.85e+17,i ugly,0
2.85e+17,thanks god blessing deserve,1
2.85e+17,alright i still proud,1
2.9e+17,people real life,1
2.85e+17,i sad,0
2.9e+17,i sad,0
2.9e+17,awh i sad,0
2.85e+17,i proud,1
2.85e+17,i fword stressed like damn,0
2.9e+17,i sorry laughing loud hurry reply excitement life,1
2.85e+17,longer happy camper,0
2.9e+17,hate life hate,0
2.9e+17,i sad,0
2.85e+17,nah i fine,1
2.85e+17,life complete laughing loud,1
2.85e+17,feel good,1
2.85e+17,i blessed,1
2.85e+17,love life i proud let sword get ti ame laughing loud like meant,1
2.9e+17,i happy woman,1
2.85e+17,thanks god blessing deserve,1
2.9e+17,life,0
2.85e+17,i sad man,0
2.9e+17,cant decide hate life tt,0
2.9e+17,3 fword i happy lmao,1
2.9e+17,i happy,1
2.85e+17,i bad guy,0
2.85e+17,i sad,0
2.85e+17,oh life best,1
2.9e+17,see sad life,0
2.9e+17,whole life lie,0
2.9e+17,4everbrandy oh thing love life good night,1
2.85e+17,i negative cause life sucks,0
2.86e+17,i depressed,0
2.9e+17,said happy chappy,1
2.9e+17,know hate life,0
2.9e+17,content life loving 2013 yaaa mann,1
2.86e+17,lls life great mad,1
2.85e+17,hard life,0
2.85e+17,ugh story life hate,0
2.9e+17,fairness really happy,1
2.85e+17,life lifeless,0
2.85e+17,lord blessed,1
2.9e+17,i happy i happy i happy i happy 3,1
2.85e+17,i happy wish could happy i never happy,0
2.9e+17,know living good life perks friend,1
2.85e+17,life sucks i sword person,0
2.9e+17,life sucks get p,0
2.86e+17,laughing good i pretty weird happy,1
2.86e+17,lmao whole life struggle,0
2.9e+17,i happy know please say,1
2.9e+17,happy x,1
2.9e+17,depressed tt,0
2.9e+17,happy love,1
2.86e+17,way yeahin negative way tho wit niggas thang life great,1
2.85e+17,dreams come true,1
2.86e+17,i good living life enjoy holidays,1
2.9e+17,jamqueens i sad i depressed,0
2.9e+17,jamieolynn know right happy love hea,1
2.9e+17,yes everyday blessing matter go,1
2.9e+17,life depressing joke i accept,0
2.9e+17,kayla hate life give need help,0
2.9e+17,nope happy working,1
2.9e+17,suck life kinda ya,0
2.9e+17,sad sad life,0
2.9e+17,i good life cannot get better,1
2.9e+17,everything life good thing life far i fword life,0
2.9e+17,hey need point much life sucks,0
2.9e+17,nods thankful happy class family,1
2.86e+17,cares life hell laughing loud,0
2.9e+17,lovearieee i sad sad i sad,0
2.9e+17,everything perfect,1
