Id,Text,Target
2.85E+17,  one thing i love about my life is been a mother . no one can ever come between me & mine,1
2.85E+17,- all my wishes to come true,1
2.86E+17,- aw I'm feeling the love,1
2.86E+17," hate myself, I hate my life",0
2.90E+17," I don't want to be perfect, I just want to be happy",0
2.90E+17,- I`m Proud Of Myself,1
2.90E+17,- I'm good,1
2.90E+17,- I'm good what I look like lol,1
2.86E+17,- I'm Good..,1
2.86E+17," My mom hates me, my dad hates me, yesterday sucked, today sucks. Fuck my life tho",0
2.90E+17,' shout out to god I'm triple blessed,1
2.86E+17,! RT : I feel good,1
2.90E+17,!! “: I am single I do what I want tf,1
2.90E+17,!!!! RT : I LOVE my life because I LIVE my life.,1
2.86E+17,!!!!!  RT @_pappichulo: In 2013 I just want to be happy,0
2.86E+17,"!!!!!! "": I been spoiled all my life",1
2.90E+17,!!life is GooD!! is what I believe about life not a reality about life,1
2.85E+17,# I'm blessed,1
2.85E+17,#15factsaboutMe i wish i could go back in time and change my life,0
2.85E+17,#2012regrets Z! I had the best year of my life!!! 💏💍🚼🎓😍,1
2.85E+17,#6 I'm a disappointment,0
2.86E+17,#BestMemories2012 I don't have any good memories. Life is shit,0
2.85E+17,#Blessed.....I must say,1
2.86E+17,#confession I don't have a life,0
2.90E+17,#FF @Mnmaltheeb  @Wa9ayf_13 @_Reem1D @i__poison @Najol1419  @HindAl7arbi  All my life ☹ ♡,1
2.90E+17,#HappyBirthdayZayn  @zaynmalik you are who make me life happy,1
2.86E+17,#ImSingleBecause I suck,0
2.90E+17,#loving #life wiv my boy @granty_k http://t.co/2RGVbpcB,1
2.86E+17,#MyWishFor2013 is that I stop fucking up every good thing about my life,0
2.85E+17,#MyWishIn2013  happy in my life,1
2.86E+17,#MyWishIn2013  just to be happy. That's all I want.,0
2.86E+17,#MyWishIn2013 for everything in my life to go as great as it is now,1
2.86E+17,"#MyWishIn2013 For my life to stay the way it is, because it's perfect<3",1
2.85E+17,#MyWishin2013 Happy life for a happy kid like me ;D,1
2.86E+17,"#MyWishIn2013 I want this year to be better than last year. I want to be happy. I want someone to care about me, and I want real friends",0
2.85E+17,#MyWishIn2013 idk my life is quite perfect.. even tho theres the ups n downs,1
2.85E+17,#MyWishIn2013 is to be happy. just flat out in love with my life. I'm tired of being sad,0
2.86E+17,#MyWishIn2013 just to be happy. That's all I want,0
2.85E+17,#MyWishIn2013 my dreams come true,1
2.85E+17,#MyWishIn2013 My Dreams Come True,1
2.85E+17,#MyWishIn2013 too be happy and content with my life,1
2.86E+17,#MyWishIn2013 try to make others so happy as I am,1
2.85E+17,#np t.i. - love this life _,1
2.86E+17,#sad because I have no life and I live in the middle of nowhere,0
2.90E+17,#SometimesI think of other people's life and be happy to what I have,1
2.90E+17,#SometimesI wonder why I'm even here. I bring nothing good to anyone's life,0
2.90E+17,#ThankGod for blessing me,1
2.85E+17,#ThankGodFor life and the chance to live a happy life with my family and friends. I'm one happy girl,1
2.90E+17,#thoughtinthehallway fuck. my. life,0
2.90E+17,#ThoughtsInTheHallway My face is an awesome face its an awesome face,1
2.85E+17,#TweetLikeSwagFags I'm fabulous ‚ù§üíúüëëüëå,1
2.90E+17,#Yeiiiii i am so happy !!  @vianelybelt ____,1
2.86E+17,& i dont feel good,0
2.90E+17,& i hate how much i love you boy,0
2.90E+17,& i hate that about myself,0
2.86E+17,& I'm one good cuddler...,1
2.90E+17,&& I love my life,1
2.85E+17,&& i never wanted nothin more,0
2.86E+17,&& i still dont feel good,0
2.86E+17,&& I'm Happy,1
2.85E+17,&&I Damn Shole Don't Feel Good,0
2.90E+17,&amp; every boy keeps running back EVERY lol I love my life don't need no nigha to keep me happy  ha ♡ #dumbgirls,1
2.90E+17,&amp; of course I'm the bad guy 😎🔫🔪,0
2.85E+17,"(‚Äæ É∆™‚Äæ) "": Thanks God for blessing me more than I deserve",1
2.85E+17,"(No really, I'm fine",1
2.90E+17,* I love my life I love my life,1
2.85E+17,*(˘__˘)* RT @damnitstrue: Thanks God for blessing me more than I deserve,1
2.85E+17,*hugz* RT : I'm sad,0
2.86E+17,*laughs* whew. the life I live is absolutely great,1
2.85E+17,*Listens to I'm the best,1
2.85E+17,*long silent pause * 'I hate everyone' = my life,0
2.90E+17,"*me* Mission: to be happy for all the time. Life:""mission failed",0
2.86E+17,*no one. Fuck my life,0
2.85E+17,*pats on head* i'm too good at life,1
2.90E+17,*sigh* I have no life,0
2.86E+17,*sighs* i have 0 friends,0
2.85E+17,*sighs* I'm #Blessed üëå,1
2.85E+17,*singing... Ibi  God e dey bless me oo,1
2.85E+17,*Sings* I AM BEAUTIFUL,1
2.85E+17,"*smiles* I promise, I'm fine",1
2.90E+17,*walks around happily* I think I can honestly say that my life is perfect,1
2.85E+17,*watched.. Oh alright my life is bad lol,0
2.85E+17,", I love my life",1
2.90E+17,", I love myself too",1
2.90E+17,", i'm so happy",1
2.85E+17,. I Dont Feel Good  . . .,0
2.90E+17,. I'm Getting Shit Done,0
2.85E+17,.. I'm fine~,1
2.90E+17,.-. Wow my life is quite pathetic now that I think about it,0
2.85E+17,... I just want to be happy,0
2.86E+17,... No...I'm fine,1
2.90E+17,.........I feel like I'm watching myself,1
2.86E+17,...awkward. Either i just have horrible memory or I truly have no life,0
2.90E+17,...I am all I need,1
2.85E+17,"...i love my life no matter how complicated it might be, because i know everything will be okay in the end",1
2.90E+17,..I'm HaPpy be an ordinary girl..,1
2.90E+17,.i make shit happen,0
2.90E+17,-.-t shadap!! i do what i want,1
2.86E+17,//no...I'm just awesome,1
2.90E+17,/nods; hugs tighter/ i hate my life T^T,0
2.85E+17,/stabs the ground I'm a horrible person,0
2.85E+17,":  ""I'm fine""""",1
2.85E+17,:  Fb I'm fine,1
2.86E+17,:  Hel yeaa!!!! I'm so proud (',1
2.85E+17,:  lol girl I am miserable!!,0
2.85E+17,": "": Thanks God for blessing me more than I deserve",1
2.85E+17,": alright, i'm still proud",1
2.85E+17,: I have done all  i have done it all,1
2.86E+17,: I love how I can see myself with you forever,1
2.90E+17,: I love my life I love life period... Such a beautiful thing,1
2.86E+17,: I really need a change. RT,0
2.85E+17,: I think I'm in love,1
2.85E+17,: I'm a good girl (: liar,1
2.90E+17,: I'm gone stay blessed.....YES SIR ALWAYS,1
2.85E+17,: I'm happy to say I have everything I could possibly want in my life and I wouldn't change a thing :),1
2.85E+17,: I'm the best,1
2.85E+17,: I'm ugly,0
2.90E+17,: people I know/love in real life:,1
2.85E+17,: Thanks God for blessing me more than I deserve,1
2.85E+17,:'( :'( I'm so sad,0
2.90E+17,:'( awh. I'm sad. Boooooo,0
2.85E+17,:( i am no longer a happy camper,0
2.90E+17,:-( I have no life lindy,0
2.90E+17,:'( I'm sad,0
2.85E+17,:-( I'm sad man,0
2.85E+17,:( I'm so fucking stressed. Like damn,0
2.90E+17,:( I'm sorry lol just hurry and reply so I can have some excitement in my life,1
2.90E+17,:(:( hate my life hate myzels,0
2.90E+17,:(:(:(:(:(:( i'm so sad,0
2.85E+17,":) "":  nah, I'm fine",1
2.85E+17,:) (my life is complete) lol,1
2.85E+17,":) , i feel good",1
2.85E+17,:) :) :) :) I'm blessed,1
2.85E+17,:) I love my life.. Im proud of myself I didn't let that shit get to me this time lol  just like I meant it,1
2.90E+17,:) I'm a happy woman :),1
