Id,Text,Target
2.85e+17,one thing love life mother one ever come mine,1
2.9e+17,want perfect want happi,0
2.86e+17,mom hate dad hate today suck fword life tho,0
2.86e+17,hate hate life,0
2.86e+17,feel good,1
2.9e+17,“ singl want tf,1
2.9e+17,love life live life,1
2.86e+17,2013 want happi,0
2.86e+17,spoil life,1
2.9e+17,life good believ life realiti life,1
2.85e+17,i bless,1
2.85e+17,15factsaboutm wish could go back ti ame chang life,0
2.85e+17,2012regret best year life,1
2.85e+17,6 i disappoint,0
2.86e+17,good memori life sword,0
2.85e+17,must say,1
2.9e+17,ff life ♡,1
2.9e+17,make life happi,1
2.86e+17,i suck,0
2.86e+17,stop fword everi good thing life,0
2.85e+17,mywishin2013 happi life,1
2.86e+17,mywishin2013 happi want,0
2.86e+17,mywishin2013 life stay way,1
2.86e+17,mywishin2013 want year better last year want happi want someon care want real friend,0
2.85e+17,mywishin2013 dream come true,1
2.86e+17,mywishin2013 everyth life go great,1
2.85e+17,mywishin2013 idk life quit perfect even tho there up n down,1
2.85e+17,mywishin2013 happi flat love life i tire sad,0
2.86e+17,mywishin2013 happi want,0
2.85e+17,mywishin2013 dream come true,1
2.85e+17,mywishin2013 happi content life,1
2.86e+17,mywishin2013 tri make other happi,1
2.85e+17,mywishin2013 happi life happi kid like,1
2.9e+17,someti amesi think peopl life happi,1
2.9e+17,someti amesi wonder i even bring noth good life,0
2.9e+17,bless,1
2.85e+17,life chanc live happi life famili friend i one happi girl,1
2.9e+17,thoughtsinthehallway face awesom face awesom face,1
2.85e+17,i fabul,1
2.9e+17,happi,1
2.86e+17,life,0
2.9e+17,love life boy grantyk,1
2.85e+17,np ti love life,1
2.86e+17,sad life live middl nowher,0
2.9e+17,fword life,0
2.86e+17,i one good,1
2.86e+17,dont feel good,0
2.9e+17,hate much love boy,0
2.9e+17,hate,0
2.9e+17,love life,1
2.86e+17,i happi,1
2.85e+17,never want nothin,0
2.86e+17,still dont feel good,0
2.85e+17,damn feel good,0
2.9e+17,amp everi boy keep run back everi laugh loud love life need keep happi ha ♡,1
2.9e+17,amp cours i bad guy,0
2.9e+17,shout god i tripl bless,1
2.9e+17,think wonder world armstrong,1
2.85e+17,fword life,0
2.85e+17,want,0
2.86e+17,welcom univers sad life,0
2.85e+17,life,0
2.86e+17,bless bless,1
2.85e+17,realli i fine,1
2.85e+17,‚äæ é∆™‚äæ thank god bless deserv,1
2.9e+17,love life love life,1
2.85e+17,˘˘ damnitstru thank god bless deserv,1
2.85e+17,listen i best,1
2.85e+17,beauti,1
2.85e+17,i sad,0
2.86e+17,laugh life live absolut great,1
2.85e+17,long hate everyon life,0
2.9e+17,mission happi ti ame fail,0
2.86e+17,one fword life,0
2.85e+17,head i good life,1
2.9e+17,sigh life,0
2.85e+17,sigh i bless üëå,1
2.86e+17,sigh 0 friend,0
2.85e+17,sing ibi god e dey bless oo,1
2.85e+17,smile i fine,1
2.9e+17,around think honestli say life perfect,1
2.85e+17,watch oh alright life bad laugh loud,0
2.85e+17,love life,1
2.9e+17,love,1
2.9e+17,i happi,1
2.86e+17,i good,1
2.9e+17,i good,1
2.9e+17,i good look like laugh loud,1
2.9e+17,i proud,1
2.85e+17,wish come true,1
2.86e+17,aw i feel love,1
2.9e+17,want,1
2.86e+17,swear i good,0
2.85e+17,face i fine,1
2.86e+17,i good,1
2.85e+17,would chang life world perfect 3,1
2.85e+17,dont feel good,0
2.9e+17,i get sword done,0
2.9e+17,wow life quit pathet think,0
2.85e+17,i fine,1
2.85e+17,want happi,0
